	arrayTrain_postMeanCollapse	htp1.5_WU_update	commercial_4x44k_postMeanCollapse_WashU_v2	commercial_1x44k_postMeanCollapse_WashU	Agilent_244K	GC.4x44Kcustom	RNAseq.V1	RNAseq.V2	RNAseq.Freeze.20120907
ACTR3B	-0.5155	1.833329153	-0.242846154	-0.187	-0.388494218	-0.401651205	2.150463	7.787369	7.741020626
ANLN	-2.479	-1.155718884	-2.51515	-0.927	-2.032012682	-1.534879954	3.161933	10.127989	10.08239391
BAG1	-0.1115	-1.497888263	-0.079864865	-0.1665	-0.03725825	0.184240057	3.661344	10.2573605	10.27323957
BCL2	0.622	2.487484419	1.07725	0.237	1.257524808	1.068783354	2.908344	10.1071375	9.894600585
BIRC5	-1.822	-0.283588588	-1.788589744	-0.2565	-1.088205268	-0.764309308	5.138799	8.823201	8.749377386
BLVRA	0.039	2.353384781	0.500923077	0.071	-0.022254452	-0.087042028	5.141719	10.1090385	10.02330221
CCNB1	-2.237	0.37935647	-1.922225	-1.2715	-2.186852472	-1.805555024	4.343276	10.07328	10.07544418
CCNE1	-1.0145	0.651351044	-1.159175	-0.445	-1.066005778	-1.313667734	1.080679	6.8246305	6.575216259
CDC20	-1.4325	-0.839824418	-2.337333333	-1.3615	-1.751721131	-1.42813064	4.01742	9.7024695	9.644891313
CDC6	-2.3195	0.71656509	-2.4434	-1.606	-2.057808926	-2.123025327	2.72016	9.004114	8.941387326
CDCA1	-2.038	1.638392758	-2.109948718	-1.417	-1.729310094	-1.683080975	2.853512	8.5259575	8.351492072
CDH3	0.632	1.366044601	0.1884861	0.532	0.296621134	1.531207949	3.537564	10.220934	10.06702348
CENPF	-1.879	-0.962983198	-2.009641026	-1.3315	-1.21260496	-0.768662742	3.398836	11.5313125	11.51559215
CEP55	-2.04	-0.371643412	-2.079578947	-0.964	-1.204119457	-1.431361457	3.125604	9.1442315	9.052467792
CXXC5	-0.0505	1.927138533	-0.368105263	-0.3395	0.583435937	0.481069885	3.787784	9.0423375	9.103994687
EGFR	-0.045	-0.40895264	-1.61425	-0.876	-0.829362046	-0.889644121	3.07768	8.394747	8.272603427
ERBB2	2.0265	3.373980383	2.213675	1.301	2.084875895	1.798398114	5.628712	12.383604	12.53649007
ESR1	1.1185	2.916796808	0.851794872	0.5205	1.407449286	1.884679352	4.103266	11.548663	10.54897166
EXO1	-2.0815	-0.436104334	-1.7515	-1.345	-1.953058342	-1.706254175	2.019916	8.3333095	8.237287651
FGFR4	-1.5571	-0.09021586	-1.17074359	-0.306	-1.008645285	-0.838117439	0.626443	6.9816875	6.923929399
FOXA1	1.7755	2.004403583	0.756825	1.38	2.892450211	3.098768018	5.764829	12.476216	12.39967935
FOXC1	-0.45	1.42887446	-0.884275	-0.329	-0.140602891	-0.257162476	1.569993	7.610427	7.423572709
GPR160	0.383	5.666021198	0.879894737	0.3855	0.721157304	0.205774456	3.565155	9.7241485	9.681816867
GRB7	0.772	0.37176255	0.727868421	0.205	0.785288784	0.754335128	3.175525	8.9493745	9.015404737
