	arrayTrain_postMeanCollapse	htp1.5_WU_update	commercial_4x44k_postMeanCollapse_WashU_v2	commercial_1x44k_postMeanCollapse_WashU
ACTR3B	-0.5155	1.833329153	-0.242846154	-0.187
ANLN	-2.479	-1.155718884	-2.51515	-0.927
BAG1	-0.1115	-1.497888263	-0.079864865	-0.1665
BCL2	0.622	2.487484419	1.07725	0.237
BIRC5	-1.822	-0.283588588	-1.788589744	-0.2565
BLVRA	0.039	2.353384781	0.500923077	0.071
CCNB1	-2.237	0.37935647	-1.922225	-1.2715
CCNE1	-1.0145	0.651351044	-1.159175	-0.445
CDC20	-1.4325	-0.839824418	-2.337333333	-1.3615
CDC6	-2.3195	0.71656509	-2.4434	-1.606
CDCA1	-2.038	1.638392758	-2.109948718	-1.417
CDH3	0.632	1.366044601	0.1884861	0.532
CENPF	-1.879	-0.962983198	-2.009641026	-1.3315
CEP55	-2.04	-0.371643412	-2.079578947	-0.964
CXXC5	-0.0505	1.927138533	-0.368105263	-0.3395
EGFR	-0.045	-0.40895264	-1.61425	-0.876
ERBB2	2.0265	3.373980383	2.213675	1.301
ESR1	1.1185	2.916796808	0.851794872	0.5205
EXO1	-2.0815	-0.436104334	-1.7515	-1.345
FGFR4	-1.5571	-0.09021586	-1.17074359	-0.306
FOXA1	1.7755	2.004403583	0.756825	1.38
FOXC1	-0.45	1.42887446	-0.884275	-0.329
GPR160	0.383	5.666021198	0.879894737	0.3855
GRB7	0.772	0.37176255	0.727868421	0.205
KIF2C	-1.831	-0.978650592	-2.0756	-1.2595
KNTC2	-2.0635	-0.475240357	-1.828	-1.718
KRT14	0.2785	1.238253748	-0.39615	-0.0455
KRT17	-0.459	0.246015736	-1.164825	-0.9995
KRT5	-0.6805	2.234875966	-1.19165	-0.8565
MAPT	0	1.148998514	0.4418	0.104
MDM2	0.2405	6.503630597	-0.272666667	-0.1375
MELK	-1.9175	-0.787196863	-1.9323	-1.3565
MIA	-0.715	1.991145772	-1.043333333	-0.6455
MKI67	-1.6965	-0.757719431	-2.965948718	-0.733
MLPH	0.8465	1.963068745	-0.066131579	0.101
MMP11	3.289	6.967634333	2.892685714	2.0165
MYBL2	-1.9115	-1.981576466	-1.603775	-0.397
MYC	-1.617	0.426752831	-2.335	-1.8795
NAT1	1.081	0.827508907	3.105475	0.8945
ORC6L	-2.4095	-1.400635704	-2.7957	0.4965
PGR	0.648444444	1.030792302	-1.177483871	-0.905
PHGDH	-1.9655	-0.949022832	-1.90485	-1.387
PTTG1	-1.8915	-1.064268952	-1.686974359	-1.224
RRM2	-2.567	-0.803239531	-2.46925641	-0.308
SFRP1	-0.526	2.754784698	-1.08525	-0.0475
SLC39A6	-0.8825	-0.557500599	-0.477	-0.942
TMEM45B	-1.3705	1.998777205	-1.57915	-0.622
TYMS	-2.795	0.344801316	-2.783052632	-1.963
UBE2C	-1.089	-0.743295045	-2.214897436	-1.121
UBE2T	-1.723	-0.152282102	-1.557513514	-1.029
